	nTconv_1	mTconv_1	nTreg_1	eTreg_1	nTconv_2	mTconv_2	nTreg_2	eTreg_2	nTconv_3	mTconv_3	nTreg_3	eTreg_3
ABAT	28.7490773300321	34.8410358368534	25.2288814713659	24.5349564336099	33.0620884854932	46.479468097228	61.4026705460045	49.6716380582847	22.9569286136207	45.1619992283491	50.2532600700472	56.8161782248926
ABCA1	21.7135536999729	9.48167958890822	23.5713636740918	12.9924704983426	17.9404928444236	5.82942002475617	32.8715253060569	20.4450259722686	25.3115630506319	9.62952815727214	25.0210281592345	22.9928758303176
ABCA10	4.65108288858124	13.8201768298095	3.38715561544869	14.3045704548692	19.898559561021	6.08743905680933	26.3580270070213	8.64594235570098	10.7465740045114	21.8404136582673	8.84150670433064	15.609380186123
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	3.18955696707451	4.42692980964024	3.78979614444218	8.89923579431312	9.97766701669511	8.06769142996142	19.3626888232922	10.0188124719352	6.3834709784677	5.87695891765697	2.68327576264835	5.49982374094961
ABCA2	50.2775447635151	77.5533556800229	40.0174911909722	124.616317205631	50.0873462670966	363.775465176493	121.797331265374	208.140525093679	54.9451842689792	331.948096102915	63.9886976640369	225.94214514724
ABCA3	41.2124860825888	26.1118348330347	30.4561738723965	18.9115657341057	40.5419191422037	29.8787787031788	57.8152974298237	60.2379978669186	20.4370678236575	59.3386047129842	28.2493320171791	47.8378227502821
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	137.537485900889	140.134445889246	182.651597652694	168.474102608597	192.821220548251	261.554802043823	308.033758165082	294.237626304559	212.719413673992	239.741922705556	254.576024281362	309.699826837211
ABCA6	1.64288258745171	0.185951646637896	0.738764207941076	0.618028105685443	0.686042047623542	1.58401366160408	2.81485358773587	0.995515633822576	1.00470634310327	0.215728059717037	1.37496513642952	1.21203032182253
ABCA7	563.425230902422	223.539709815403	215.621209730411	116.260463726044	444.752016946083	399.173173831594	417.079225441841	270.375714213335	494.6532458652	584.597200850633	276.030642736591	323.316166474848
ABCA8	0.315944915367882	0.3117556203972	0.322631687345278	0.725339702107228	0.198092419473511	0	0.406245056619329	0	0.17476079966003	0.187317474123613	0.327683095728398	0.820321534111655
ABCA9	10.5411287540391	15.1357790029811	13.3001079651595	14.9952839068707	24.6197536385588	11.4315775852456	46.5605051701573	24.0881120617613	14.053465980235	20.5685392098018	15.6784834970377	23.6936498206326
ABCB1	18.9707486763755	13.2008434197573	1.69954712637734	1.41818730903641	8.03322720385609	21.7237755958128	3.79729747199476	7.23111343454045	12.6994997677213	35.6187702014347	2.22650383854472	3.46977456643687
